Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total(g)",Total Fat (g),Cholesterol (mg),Iron (mg),Potassium (mg),Sodium (mg)
"Alfalfa sprouts, raw",Other vegetables and combinations,23,3.99,2.1,0.2,0.69,0,0.96,79,6
"Artichoke, raw",Other vegetables and combinations,53,2.89,11.95,0.99,0.34,0,0.61,286,60
"Asparagus, raw",Other vegetables and combinations,20,2.2,3.88,1.88,0.12,0,2.14,202,2
"Bean sprouts, raw",Other vegetables and combinations,30,3.04,5.94,4.13,0.18,0,0.91,149,6
"Green beans, raw",String beans,31,1.83,6.97,3.26,0.22,0,1.03,211,6
"Beets, raw",Other vegetables and combinations,43,1.61,9.56,6.76,0.17,0,0.8,325,78
"Broccoflower, raw",Other vegetables and combinations,31,2.95,6.09,3.03,0.3,0,0.73,300,23
"Brussels sprouts, raw",Other vegetables and combinations,43,3.38,8.95,2.2,0.3,0,1.4,389,25
"Cabbage, green, raw",Cabbage,25,1.28,5.8,3.2,0.1,0,0.47,170,18
"Cactus, raw",Other vegetables and combinations,16,1.32,3.33,1.15,0.09,0,0.59,257,21
"Cauliflower, raw",Other vegetables and combinations,25,1.92,4.97,1.91,0.28,0,0.42,299,30
"Celery, raw",Other vegetables and combinations,14,0.69,2.97,1.34,0.17,0,0.2,260,80
"Fennel bulb, raw",Other vegetables and combinations,31,1.24,7.3,3.93,0.2,0,0.73,414,52
"Basil, raw",Not included in a food category,23,3.15,2.65,0.3,0.64,0,3.17,295,4
"Chives, raw",Not included in a food category,30,3.27,4.35,1.85,0.73,0,1.6,296,3
"Cilantro, raw",Not included in a food category,23,2.13,3.67,0.87,0.52,0,1.77,521,46
"Corn, raw",Corn,86,3.27,18.7,6.26,1.35,0,0.52,270,15
"Cucumber, raw",Other vegetables and combinations,15,0.65,3.63,1.67,0.11,0,0.28,147,2
"Eggplant, raw",Other vegetables and combinations,25,0.98,5.88,3.53,0.18,0,0.23,229,2
"Garlic, raw",Mustard and other condiments,143,6.62,28.2,1,0.38,0,1.7,401,17
"Jicama, raw",Other vegetables and combinations,38,0.72,8.82,1.8,0.09,0,0.6,150,4
"Kohlrabi, raw",Other vegetables and combinations,27,1.7,6.2,2.6,0.1,0,0.4,350,20
"Lettuce, raw",Lettuce and lettuce salads,14,1.13,2.92,1.38,0.14,0,0.64,168,19
"Mushrooms, raw",Other vegetables and combinations,31,2.9,4.13,1.98,0.35,0,0.23,371,6
"Onions, green, raw",Onions,32,1.83,7.34,2.33,0.19,0,1.48,276,16
"Onions, raw",Onions,38,0.86,8.46,5.8,0.08,0,0.24,171,1
"Parsley, raw",Not included in a food category,36,2.97,6.33,0.85,0.79,0,6.2,554,56
"Green peas, raw",Other starchy vegetables,81,5.42,14.45,5.67,0.4,0,1.47,244,5
"Pepper, hot chili, raw",Mustard and other condiments,34,1.39,7.66,4.71,0.4,0,0.64,285,6
"Pepper, raw, NFS",Other vegetables and combinations,22,0.91,5.13,3.03,0.22,0,0.37,188,3
"Pepper, sweet, green, raw",Other vegetables and combinations,20,0.86,4.64,2.4,0.17,0,0.34,175,3
"Pepper, sweet, red, raw",Other red and orange vegetables,26,0.99,6.03,4.2,0.3,0,0.43,211,4
"Radish, raw",Other vegetables and combinations,16,0.68,3.4,1.86,0.1,0,0.34,233,39
"Rutabaga, raw",Other vegetables and combinations,37,1.08,8.62,4.46,0.16,0,0.44,305,12
"Seaweed, raw",Other vegetables and combinations,41,3.51,7.94,0.58,0.49,0,2.28,165,384
"Snowpeas, raw",Other vegetables and combinations,42,2.8,7.55,4,0.2,0,2.08,200,4
"Summer squash, yellow, raw",Other vegetables and combinations,19,1.01,3.88,2.88,0.27,0,0.44,222,2
"Summer squash, green, raw",Other vegetables and combinations,17,1.21,3.11,2.5,0.32,0,0.37,261,8
"Turnip, raw",Other vegetables and combinations,28,0.9,6.43,3.8,0.1,0,0.3,191,67
"Beets, fresh, cooked, no added fat",Other vegetables and combinations,45,1.67,9.93,7.02,0.18,0,0.83,338,202
"Cauliflower, fresh, cooked, no added fat",Other vegetables and combinations,26,1.99,5.16,1.98,0.29,0,0.44,311,152
Water Chesnut,Other starchy vegetables,78,1.38,19.22,3.84,0.09,0,1.36,184,12
Yeast,Not included in a food category,325,40.44,41.22,0,7.61,0,2.17,955,51
"Green beans, pickled","Olives, pickles, pickled vegetables",46,1.52,10.64,7.57,0.2,0,0.86,175,949
"Beets, pickled","Olives, pickles, pickled vegetables",65,0.8,16.28,11.05,0.08,0,0.41,115,149
"Celery, pickled","Olives, pickles, pickled vegetables",32,0.57,7.32,5.98,0.16,0,0.17,216,1011
"Relish, corn","Olives, pickles, pickled vegetables",111,1.7,25.66,18.43,0.92,0,0.24,114,336
"Cauliflower, pickled","Olives, pickles, pickled vegetables",41,1.59,8.98,6.45,0.25,0,0.35,248,969
