Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total(g)",Total Fat (g),Cholesterol (mg),Iron (mg),Potassium (mg),Sodium (mg)
"Milk, NFS","Milk, reduced fat",52,3.33,4.83,4.88,2.14,9,0,156,39
"Milk, whole","Milk, whole",61,3.27,4.63,4.81,3.2,12,0,150,38
"Milk, reduced fat (2%)","Milk, reduced fat",50,3.36,4.9,4.89,1.9,8,0,159,39
"Milk, low fat (1%)","Milk, lowfat",43,3.38,5.18,4.96,0.95,5,0,159,39
"Buttermilk, fat free (skim)","Milk, nonfat",40,3.31,4.79,4.79,1.07,4,0.05,151,148
"Buttermilk, whole","Milk, whole",62,3.21,4.88,4.88,3.31,11,0.03,135,105
"Kefir, NS as to fat content","Milk, lowfat",52,3.59,7.48,6.91,0.96,5,0.04,159,38
"Goat's milk, whole","Milk, whole",69,3.56,4.45,4.45,4.14,11,0.05,204,50
Soy milk,Milk substitutes,53,3.41,5.22,4.53,2.05,0,0.52,152,33
"Soy milk, light",Milk substitutes,38,3.55,1.29,0.56,2.12,0,0.54,158,34
"Soy milk, nonfat",Milk substitutes,38,3.55,1.29,0.56,2.12,0,0.54,158,34
"Soy milk, chocolate",Milk substitutes,64,3.35,8.32,7.49,2.03,0,0.55,151,32
"Soy milk, light, chocolate",Milk substitutes,39,3.6,1.46,0.56,2.15,0,0.58,162,34
"Almond milk, sweetened",Milk substitutes,30,0.53,4.31,3.99,1.18,0,0.28,30,58
"Almond milk, unsweetened",Milk substitutes,15,0.55,0.34,0,1.22,0,0.29,31,60
Rice milk,Milk substitutes,47,0.28,9.17,5.28,0.97,0,0.2,27,39
Coconut milk,Milk substitutes,31,0.21,2.92,2.5,2.08,0,0.3,19,19
"Yogurt, NFS","Yogurt, regular",63,5.25,7.04,7.04,1.55,6,0.08,234,70
"Chipotle dip, yogurt based","Dips, gravies, other sauces",189,7.93,3.33,2.97,15.99,16,0.09,119,636
"Onion dip, yogurt based","Dips, gravies, other sauces",160,6.82,4.06,3.38,12.91,14,0.08,126,507
"Ranch dip, yogurt based","Dips, gravies, other sauces",195,8.48,4.13,3.41,16.09,17,0.29,154,646
"Spinach dip, yogurt based","Dips, gravies, other sauces",159,7.02,3.59,3.04,12.96,14,0.21,136,514
Tzatziki dip,"Dips, gravies, other sauces",93,5.35,3.92,2.92,6.31,7,0.14,139,307
"Vegetable dip, yogurt based","Dips, gravies, other sauces",191,8.16,3.76,2.99,16.03,16,0.29,141,641
"Yogurt parfait, low fat, with fruit","Yogurt, regular",84,3.36,15.86,11.68,1.01,3,0.49,189,49
"Frozen yogurt, NFS",Ice cream and frozen dairy desserts,127,3,21.6,19.92,3.6,13,0.46,156,63
"Chocolate milk, NFS","Flavored milk, nonfat",67,3.39,13.46,8.39,0,2,0.27,182,79
"Strawberry milk, NFS","Flavored milk, reduced fat",52,3.34,5.34,5.29,1.9,8,0,157,40
"Strawberry milk, whole","Flavored milk, whole",86,3.03,11.79,11.68,2.97,11,0.03,139,38
"Strawberry milk, reduced fat","Flavored milk, reduced fat",71,3.16,10.7,10.46,1.8,8,0.03,150,39
"Milk, malted","Flavored milk, reduced fat",66,3.19,8.64,7.81,2.05,8,0.71,149,60
Eggnog,Milk shakes and other dairy drinks,88,4.55,8.05,8.05,4.19,59,0.2,165,54
"Whey, sweet, dry",Not included in a food category,353,12.93,74.46,74.46,1.07,6,0.88,2080,1079
"Cream, light",Cream and cream substitutes,195,2.96,3.66,3.67,19.1,59,0.05,136,72
"Cream, half and half",Cream and cream substitutes,131,3.13,4.3,4.13,11.5,35,0.05,132,61
"Cream, heavy",Cream and cream substitutes,340,2.84,2.84,2.92,36.08,113,0.1,95,27
"Cream, whipped","Cream cheese, sour cream, whipped cream",343,2.67,8.59,8.55,33.94,106,0.1,89,26
"Coffee creamer, NFS",Cream and cream substitutes,136,1,11.38,11.38,9.97,0,0.03,191,67
"Dip, NFS","Dips, gravies, other sauces",433,2.24,3.49,2.48,45.84,50,0.35,112,708
"Chipotle dip, regular","Dips, gravies, other sauces",427,1.69,2.7,2.04,45.74,49,0.16,77,699
"Onion dip, regular","Dips, gravies, other sauces",347,1.9,3.56,2.64,36.29,40,0.13,92,556
"Ranch dip, regular","Dips, gravies, other sauces",433,2.24,3.49,2.48,45.84,50,0.35,112,708
"Spinach dip, regular","Dips, gravies, other sauces",346,2.11,3.09,2.3,36.35,40,0.26,102,563
"Vegetable dip, regular","Dips, gravies, other sauces",430,1.92,3.12,2.05,45.78,49,0.35,98,703
"Ice cream, NFS",Ice cream and frozen dairy desserts,221,3.57,26.36,22.86,11.3,42,0.3,203,90
"Gelato, vanilla",Ice cream and frozen dairy desserts,249,3.5,22.29,20.65,16.2,92,0.34,157,61
"Gelato, chocolate",Ice cream and frozen dairy desserts,251,4.72,19.78,17.35,16.98,60,1.02,238,57
Custard,Pudding,97,5.08,10.97,10.89,3.64,80,0.3,158,84
Flan,Pudding,178,5.23,28.24,28.1,4.94,112,0.49,129,163
Creme brulee,Pudding,113,4.06,17.85,17.86,2.83,45,0.16,150,74
"Pudding, rice",Pudding,108,3.23,18.39,11.59,2.15,12,0.11,125,97
"Firni, Indian pudding",Pudding,144,3.58,25.14,15.66,3.1,9,0.51,136,30
"Pudding, tapioca, made from dry mix",Pudding,130,1.95,21.69,14.91,3.88,1,0.11,92,145
Banana pudding,Pudding,160,2.57,28,19.74,4.26,38,0.42,149,128
Mousse,Pudding,211,4.38,16.01,15.1,15.24,121,0.54,154,35
Trifle,Pudding,169,3.52,23.24,15.76,7.15,65,0.83,125,180
Tiramisu,Cakes and pies,355,5.99,29.51,18.7,24.34,123,1.18,152,156
"Cheese, Blue or Roquefort",Cheese,353,21.4,2.34,0.5,28.74,75,0.31,256,1146
"Cheese, Brick",Cheese,371,23.24,2.79,0.51,29.68,94,0.43,136,560
"Cheese, Camembert",Cheese,300,19.8,0.46,0.46,24.26,72,0.33,187,842
"Cheese, Brie",Cheese,334,20.75,0.45,0.45,27.68,100,0.5,152,629
"Cheese, Cheddar",Cheese,409,23.3,2.44,0.33,34,100,0.16,77,654
"Cheese, Cheddar, reduced fat",Cheese,316,27.35,2.67,0.26,20.41,76,0.12,63,628
"Cheese, Cheddar, nonfat or fat free",Cheese,157,32.14,7.14,0,0,18,0,66,1000
"Cheese, Colby",Cheese,394,23.76,2.57,0.52,32.11,95,0.76,127,604
"Cheese, Colby Jack",Cheese,384,24.12,1.62,0.51,31.2,92,0.74,104,602
"Cheese, Feta",Cheese,265,14.21,3.88,0,21.49,89,0.65,62,1139
"Cheese, Fontina",Cheese,389,25.6,1.55,1.55,31.14,116,0.23,64,800
"Cheese, goat",Cheese,364,21.58,0.12,0.12,29.84,79,1.62,158,415
"Cheese, Gouda or Edam",Cheese,356,24.94,2.22,2.22,27.44,114,0.24,121,819
"Cheese, Gruyere",Cheese,413,29.81,0.36,0.36,32.34,110,0.17,81,714
"Cheese, Limburger",Cheese,327,20.05,0.49,0.49,27.25,90,0.13,128,800
"Cheese, Monterey",Cheese,373,24.48,0.68,0.5,30.28,89,0.72,81,600
"Cheese, Monterey, reduced fat",Cheese,313,28.2,0.7,0.56,21.6,65,0.72,81,781
"Cheese, Mozzarella, NFS",Cheese,296,23.7,4.44,1.81,20.4,65,0.2,116,699
"Cheese, Mozzarella, part skim",Cheese,296,23.7,4.44,1.81,20.4,65,0.2,116,699
"Cheese, Mozzarella, reduced sodium",Cheese,280,27.5,3.1,1.23,17.1,54,0.25,95,16
"Cheese, Mozzarella, nonfat or fat free",Cheese,141,31.7,3.5,1.48,0,18,0.31,106,743
"Cheese, Muenster",Cheese,368,23.41,1.12,1.12,30.04,96,0.41,134,628
"Cheese, Muenster, reduced fat",Cheese,271,24.7,3.5,3.5,17.6,63,0.41,134,600
"Cheese, Parmesan, dry grated",Cheese,420,29.6,12.4,0.07,28,87,0.45,184,1750
"Cheese, Parmesan, dry grated, reduced fat",Cheese,395,34.8,26.2,0.78,16.5,54,2.72,392,1450
"Cheese, Parmesan, hard",Cheese,420,29.6,12.4,0.07,28,87,0.45,184,1750
"Cheese, Parmesan, dry grated, fat free",Cheese,370,40,40,1.5,5,20,5,600,1150
"Cheese, Port du Salut",Cheese,356,24.94,2.22,2.22,27.44,114,0.24,121,819
"Cheese, Provolone",Cheese,351,25.58,2.14,0.56,26.62,69,0.52,138,727
"Cheese, provolone, reduced fat",Cheese,274,24.7,3.5,0.55,17.6,55,0.52,138,615
"Cheese, Swiss",Cheese,393,27,1.44,0,31,93,0.13,71,185
"Cheese, Swiss, reduced sodium",Cheese,374,28.4,3.4,1.31,27.4,92,0.17,111,14
"Cheese, Swiss, reduced fat",Cheese,179,28.4,3.4,1.33,5.1,35,0.17,111,199
"Cheese, Swiss, nonfat or fat free",Cheese,127,28.4,3.4,1.33,0,18,0.17,111,1000
"Cheese, Cheddar, reduced sodium",Cheese,398,24.35,1.91,0.49,32.62,100,0.72,112,21
"Cheese, paneer",Cheese,299,15.86,22.46,23.33,15.52,58,0,728,185
"Cheese, Mexican blend",Cheese,358,23.54,1.75,1.23,28.51,95,0.59,85,607
"Cheese, Mexican blend, reduced fat",Cheese,282,24.69,3.41,0.56,19.4,62,0.13,93,776
"Queso Anejo, aged Mexican cheese",Cheese,373,21.44,4.63,4.63,29.98,105,0.47,87,1131
Queso Asadero,Cheese,356,22.6,2.87,2.87,28.26,105,0.51,86,607
Queso Fresco,Cheese,299,18.09,2.98,2.32,23.82,69,0.2,129,751
Queso cotija,Cheese,366,20,3.97,0,30,100,0,125,1400
"Cheese, cottage, NFS",Cottage/ricotta cheese,82,11,4.31,4.1,2.3,12,0.13,120,321
"Cheese, cottage, creamed, large or small curd",Cottage/ricotta cheese,98,11.12,3.38,2.67,4.3,17,0.07,104,315
"Cottage cheese, farmer's",Cottage/ricotta cheese,143,10.49,3.18,2.52,9.8,31,0.07,98,297
"Cheese, Ricotta",Cottage/ricotta cheese,148,9.6,6,0.29,9.46,40,0.27,178,102
"Cheese, cottage, with fruit",Cottage/ricotta cheese,74,9.41,4.94,4.61,1.96,10,0.15,116,273
"Cheese, cottage, with vegetables",Cottage/ricotta cheese,79,9.78,5.63,3.95,1.98,10,0.23,127,278
"Cheese, cottage, dry curd",Cottage/ricotta cheese,72,10.34,6.66,1.85,0.29,7,0.15,137,372
"Cheese, cottage, salted, dry curd",Cottage/ricotta cheese,71,10.24,6.59,1.83,0.29,7,0.15,136,755
Puerto Rican white cheese,Cottage/ricotta cheese,299,18.09,2.98,2.32,23.82,69,0.2,129,751
"Cheese, cottage, low fat",Cottage/ricotta cheese,82,11,4.31,4.1,2.3,12,0.13,120,321
"Cheese, cottage, lowfat, with fruit",Cottage/ricotta cheese,81,7.32,9.99,8.81,1.54,8,0.18,113,209
"Cheese, cottage, lowfat, low sodium",Cottage/ricotta cheese,72,12.4,2.7,2.7,1,4,0.14,86,13
"Cheese, cottage, lowfat, lactose reduced",Cottage/ricotta cheese,82,11,4.31,4.1,2.3,12,0.13,120,321
"Cream cheese, regular, plain","Cream cheese, sour cream, whipped cream",350,6.15,5.52,3.76,34.44,101,0.11,132,314
"Cream cheese, regular, flavored","Cream cheese, sour cream, whipped cream",218,7.11,16.39,14.31,13.87,49,0.16,224,465
"Cream cheese, light","Cream cheese, sour cream, whipped cream",201,7.85,8.13,5.82,15.28,54,0.17,247,359
"Cheese, American and Swiss blends",Cheese,368,18,5.27,2.63,30.6,98,0.48,149,1660
"Cheese, American",Cheese,350,17.2,6.82,4.21,28.25,91,0.56,206,1513
"Cheese, American, reduced fat",Cheese,240,17.6,10.6,8.02,14.1,53,0.2,330,1201
"Cheese, American, nonfat or fat free",Cheese,126,21.05,10.53,5.26,0,26,0,393,1316
"Cheese, American, reduced sodium",Cheese,376,22.2,1.6,0.45,31.19,94,0.39,162,7
"Cheese spread, American or Cheddar cheese base, reduced fat",Cheese,176,13.41,10.71,7.06,8.88,38,0.36,250,1102
"Cream cheese spread, fat free","Cream cheese, sour cream, whipped cream",105,15.69,7.66,5.48,1,12,0.19,278,702
"Cheese, processed cheese food",Cheese,307,16.09,8.85,6.24,23.06,78,0.95,295,1279
"Cheese, processed, with vegetables",Cheese,359,14.3,3.91,1.97,32.13,94,0.21,105,922
"Cheese,  with wine",Cheese,307,16.09,8.85,6.24,23.06,78,0.95,295,1279
"Cheese spread, American or Cheddar cheese base",Cheese,290,16.41,8.73,7.32,21.23,55,0.33,242,1625
"Cheese spread, Swiss cheese base",Cheese,290,16.41,8.73,7.32,21.23,55,0.33,242,1625
"Cheese spread, cream cheese, regular","Cream cheese, sour cream, whipped cream",295,7.1,3.5,3.5,28.6,90,1.13,112,436
"Cheese spread, cream cheese, light","Cream cheese, sour cream, whipped cream",201,7.85,8.13,5.82,15.28,54,0.17,247,359
"Cheese spread, pressurized can",Cheese,290,16.41,8.73,7.32,21.23,55,0.33,242,1625
Imitation cheese,Cheese,390,25,1,1,32,15,0.7,55,670
"Cheese, cottage cheese, with gelatin dessert",Cottage/ricotta cheese,80,6.55,8.37,7.66,2.32,9,0.05,56,204
"Cheese, cottage cheese, with gelatin dessert and fruit",Cottage/ricotta cheese,72,5.11,9.41,8.52,1.77,7,0.13,77,156
"Cheese, cottage cheese, with gelatin dessert and vegetables",Cottage/ricotta cheese,82,7.71,6.27,5.37,2.85,11,0.08,90,230
Cheese ball,Cheese,427,18.08,5.57,1.74,38.07,71,0.78,198,546
Artichoke dip,"Dips, gravies, other sauces",331,3.65,5.47,2.08,33.12,39,0.24,120,601
Spinach and artichoke dip,"Dips, gravies, other sauces",330,4,4.76,1.52,33.21,39,0.46,138,614
Seafood dip,"Dips, gravies, other sauces",338,5.97,3.89,1.95,33.25,73,0.44,93,708
Cheese dip with chili pepper,"Dips, gravies, other sauces",143,3.14,11.14,1.95,9.51,9,0.14,105,796
Cheese dip,"Dips, gravies, other sauces",162,3.3,7.76,0.29,13.07,8,0.62,27,651
Cheese fondue,"Dips, gravies, other sauces",276,19.32,1.95,0.53,21.2,68,0.32,85,303
Cheese souffle,Eggs and omelets,207,9.43,6.38,2.44,16.01,157,0.76,131,314
Welsh rarebit,"Dips, gravies, other sauces",165,7.5,6.32,4.21,12.26,26,0.16,151,280
"Cheese sandwich, NFS",Cheese sandwiches,283,12.17,32.58,5.71,11.61,32,2.37,190,807
Cheese sauce,"Dips, gravies, other sauces",162,3.3,7.76,0.29,13.07,8,0.62,27,651
Alfredo sauce,"Dips, gravies, other sauces",150,2.37,1.48,0.9,15.16,47,0.06,39,554
"Mozzarella sticks, breaded, baked, or fried",Cheese,325,14.75,25.14,2.36,18.33,36,0.62,108,861
"Meat, NFS","Beef, excludes ground",215,27.13,0,0,11.29,82,1.91,352,363
"Meat, ground, NFS",Ground beef,262,25.62,0,0,17.04,88,2.4,304,382
"Baby Toddler meat, NFS",Baby food: meat and dinners,112,12.58,1.25,0,5.99,55,1.1,155,47
"Beef, NFS","Beef, excludes ground",231,27.13,0,0,13.04,85,2.66,319,372
"Steak, NS as to type of meat, NS as to fat eaten","Beef, excludes ground",230,26.95,0,0,12.99,83,2.6,321,367
"Beef, steak, NFS","Beef, excludes ground",229,27,0,0,12.88,83,2.64,321,369
"Beef, steak, chuck","Beef, excludes ground",225,25.97,0.21,0,13.43,92,3.23,308,380
"Beef, steak, cube","Beef, excludes ground",187,28.83,0,0,7.1,83,3.12,417,379
"Beef, steak, flank","Beef, excludes ground",243,29.13,0,0,14.09,91,2.42,296,370
"Beef, steak, ribeye, NS as to fat eaten","Beef, excludes ground",260,24.99,0,0,17.73,79,2.32,270,362
"Beef, steak, ribeye, lean and fat eaten","Beef, excludes ground",289,23.5,0,0,21.64,79,2.22,258,361
"Beef, steak, ribeye, lean only eaten","Beef, excludes ground",230,26.47,0,0,13.83,79,2.42,283,364
"Beef, steak, round","Beef, excludes ground",166,29.72,0,0,4.25,85,3.21,430,382
"Beef, steak, sirloin, NS as to fat eaten","Beef, excludes ground",239,27.14,0,0,13.98,85,1.99,315,361
"Beef, steak, sirloin, lean and fat eaten","Beef, excludes ground",262,26.23,0,0,16.65,87,1.68,325,361
"Beef, steak, sirloin, lean only eaten","Beef, excludes ground",216,28.05,0,0,11.32,82,2.3,305,361
"Beef, steak, strip, NS as to fat eaten","Beef, excludes ground",239,27.14,0,0,13.98,85,1.99,315,361
"Beef, steak, strip, lean and fat eaten","Beef, excludes ground",262,26.23,0,0,16.65,87,1.68,325,361
"Beef, steak, strip, lean only eaten","Beef, excludes ground",216,28.05,0,0,11.32,82,2.3,305,361
"Beef, steak, T-bone, NS as to fat eaten","Beef, excludes ground",252,26.16,0,0,15.56,82,3.05,267,372
"Beef, steak, T-bone,  lean and fat eaten","Beef, excludes ground",274,25.2,0,0,18.42,82,2.98,255,371
"Beef, steak, T-bone, lean only eaten","Beef, excludes ground",230,27.12,0,0,12.69,82,3.13,279,373
"Beef, steak, tenderloin","Beef, excludes ground",196,30.46,0,0,8.25,92,3.56,387,366
"Beef, steak, country fried","Beef, excludes ground",306,19.9,7.94,0.13,21.05,66,1.8,247,432
"Beef, oxtails","Beef, excludes ground",257,25.9,0,0,16.46,86,2.18,269,357
"Beef, neck bones","Beef, excludes ground",257,25.9,0,0,16.46,86,2.18,269,357
"Beef, shortribs","Beef, excludes ground",253,18.2,12.13,9.89,14.1,67,1.34,293,650
"Beef, cow head","Beef, excludes ground",257,25.9,0,0,16.46,86,2.18,269,357
"Beef, roast","Beef, excludes ground",206,29.08,0,0,9.72,89,2.89,332,372
"Beef, pot roast","Beef, excludes ground",251,28.39,0,0,15.35,101,2.91,282,370
"Beef, stew meat","Beef, excludes ground",251,28.39,0,0,15.35,101,2.91,282,370
"Beef, corned",Cold cuts and cured meats,251,18.17,0.47,0,18.98,98,1.86,145,973
"Beef, brisket","Beef, excludes ground",231,29.41,0,0,12.04,94,2.74,285,377
"Beef, sandwich steak","Beef, excludes ground",326,18.26,0,0,27.59,73,1.86,233,359
"Beef, ground, raw",Ground beef,213,18.44,0,0,14.88,67,2.07,293,373
"Beef, ground",Ground beef,261,25.55,0,0,16.82,87,2.47,302,381
"Beef, ground, patty",Ground beef,272,25.45,0,0,18.18,87,2.41,294,383
"Beef, bacon, cooked",Bacon,449,31.3,1.4,0,34.4,119,3.14,412,1500
"Beef, bacon, reduced sodium, cooked",Bacon,541,37.04,1.43,0,41.78,110,1.44,565,1030
"Beef, dried, chipped, uncooked",Cold cuts and cured meats,153,31.1,2.76,2.7,1.94,79,2.42,235,2790
"Beef, dried, chipped, cooked in fat",Cold cuts and cured meats,225,28.12,2.5,2.44,11.32,81,2.19,213,2523
Beef jerky,Cold cuts and cured meats,410,33.2,11,9,25.6,48,5.42,597,1785
Baby Toddler beef,Baby food: meat and dinners,81,12.03,2.43,0,2.52,51,0.98,187,41
Ham,Cold cuts and cured meats,117,19.04,1.58,1.54,3.87,54,0.84,371,1149
"Ham, prosciutto",Cold cuts and cured meats,195,27.8,0.3,0,8.32,70,1.11,510,2695
"Ham, canned",Cold cuts and cured meats,167,20.94,0.49,0,8.43,41,1.07,351,1068
"Ham, ground",Cold cuts and cured meats,167,20.94,0.49,0,8.43,41,1.07,351,1068
"Ribs, NFS",Pork,254,16.52,12.13,9.89,14.97,60,0.91,244,674
Baby Toddler ham,Baby food: meat and dinners,97,11.3,3.7,0,3.8,24,1.03,204,44
Baby Toddler meat stick,Baby food: meat and dinners,188,13.7,1.4,1.4,14.2,65,0.92,120,295
"Lamb, NS as to cut","Lamb, goat, game",292,24.32,0,0,20.77,96,1.86,308,379
"Lamb, chop","Lamb, goat, game",264,27.36,0,0,16.27,97,1.89,349,387
"Lamb, ground","Lamb, goat, game",281,24.55,0,0,19.49,96,1.78,336,388
Goat,"Lamb, goat, game",142,26.88,0,0,3.01,74,3.7,402,392
"Veal, chop","Beef, excludes ground",158,29.51,0.07,0,4.4,77,0.78,237,391
"Veal, ground",Ground beef,213,25.62,1.5,0,11.69,76,1.49,243,452
Mock chicken legs,"Beef, excludes ground",242,21.54,8.04,0.13,13.59,57,1.11,254,313
Rabbit,"Lamb, goat, game",204,30.14,0,0,8.34,85,2.35,298,344
"Venison, NFS","Lamb, goat, game",167,28.1,0,0,5.26,88,3.69,378,374
"Venison, steak","Lamb, goat, game",149,29.96,0,0,2.36,78,4.06,395,364
Venison/deer jerky,Cold cuts and cured meats,398,32.2,14.72,14.75,22.41,129,4.32,391,2955
Venison sausage,Cold cuts and cured meats,299,10.91,4.29,2.05,26.13,57,1.29,351,1013
Moose,"Lamb, goat, game",133,29.04,0,0,0.96,77,4.19,331,376
Bear,"Lamb, goat, game",257,32.16,0,0,13.28,97,10.64,261,378
Caribou,"Lamb, goat, game",166,29.53,0,0,4.38,108,6.12,308,367
Bison,"Lamb, goat, game",178,25.25,0,0,8.55,70,3.16,350,383
Groundhog,"Lamb, goat, game",233,25.86,0,0,13.55,82,0.92,342,362
Opossum,"Lamb, goat, game",219,29.96,0,0,10.12,128,4.6,435,365
Squirrel,"Lamb, goat, game",172,30.53,0,0,4.65,120,6.76,349,425
Beaver,"Lamb, goat, game",210,34.57,0,0,6.9,116,9.92,400,366
Raccoon,"Lamb, goat, game",253,28.97,0,0,14.38,96,7.04,395,386
Armadillo,"Lamb, goat, game",159,28.08,0,0,4.34,76,1.11,393,367
Wild pig,"Lamb, goat, game",159,28.08,0,0,4.34,76,1.11,393,367
Ostrich,"Turkey, duck, other poultry",174,25.93,0,0,7.01,82,3.4,320,402
"Chicken, NS as to part and cooking method, NS as to skin eaten","Chicken, whole pieces",164,26.79,0,0,6.36,112,0.73,279,345
"Chicken breast, NS as to cooking method, skin eaten","Chicken, whole pieces",175,26.37,0.09,0.09,7.67,90,0.51,276,329
"Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten","Chicken, whole pieces",218,23.77,0.12,0.12,13.63,136,0.98,265,358
"Chicken drumstick, NS as to cooking method, skin eaten","Chicken, whole pieces",206,25.65,0.12,0.12,11.46,149,1.02,279,392
"Chicken thigh, NS as to cooking method, skin eaten","Chicken, whole pieces",226,22.51,0.12,0.12,15.08,127,0.95,255,335
"Chicken wing, NS as to cooking method","Chicken, whole pieces",257,23.42,0.6,0.6,18.04,129,0.93,285,579
"Chicken, back","Chicken, whole pieces",298,25.73,0,0,20.8,87,1.41,208,409
"Chicken, neck or ribs","Chicken, whole pieces",245,19.45,0,0,17.95,69,2.28,107,374
"Chicken, tail","Chicken, whole pieces",454,20.36,0,0,40.68,83,1.51,136,65
Chicken skin,"Chicken, whole pieces",450,20.19,0,0,40.34,82,1.5,135,387
Chicken feet,"Chicken, whole pieces",215,19.4,0.2,0,14.6,84,0.91,31,67
"Chicken nuggets, NFS","Chicken patties, nuggets and tenders",307,15.92,14.93,0.08,20.36,55,0.83,251,594
"Chicken tenders or strips, NFS","Chicken patties, nuggets and tenders",271,19.22,17.25,0.4,13.95,48,0.73,373,769
"Turkey, light meat, skin not eaten","Turkey, duck, other poultry",139,28.81,0,0,2.06,76,0.65,247,467
"Turkey, drumstick, cooked, skin not eaten","Turkey, duck, other poultry",144,28.52,0,0,3.38,88,0.82,240,455
"Turkey, thigh, cooked, skin eaten","Turkey, duck, other poultry",182,24.36,0.27,0,9.26,112,1.34,256,457
"Turkey, neck","Turkey, duck, other poultry",161,22.29,0,0,7.3,127,1.17,113,566
"Turkey, wing, cooked, skin not eaten","Turkey, duck, other poultry",139,28.81,0,0,2.06,76,0.65,247,467
"Turkey, tail","Turkey, duck, other poultry",294,22.25,0,0,22.8,88,0.59,217,485
"Turkey, back","Turkey, duck, other poultry",203,25.58,0,0,11.26,86,0.67,250,557
"Duck, cooked, skin eaten","Turkey, duck, other poultry",336,18.91,0,0,28.23,84,2.69,203,221
"Goose, wild, roasted","Turkey, duck, other poultry",304,25.06,0,0,21.83,91,2.82,328,232
"Dove, cooked, NS as to cooking method","Turkey, duck, other poultry",212,23.8,0,0,12.95,116,5.88,255,219
"Dove, fried","Turkey, duck, other poultry",223,23.06,1.46,0.11,13.84,114,5.72,250,197
"Quail, cooked","Turkey, duck, other poultry",226,25,0,0,14.04,86,4.41,215,214
"Pheasant, cooked","Turkey, duck, other poultry",238,32.26,0,0,12.05,89,1.42,270,205
Baby Toddler chicken,Baby food: meat and dinners,130,13.7,0.1,0,7.9,61,1.4,141,49
Baby Toddler turkey,Baby food: meat and dinners,111,11.5,1.4,0,6.2,58,0.7,135,49
"Liver, beef",Liver and organ meats,174,26.31,5.12,0,4.64,378,6.12,348,384
"Liver, chicken",Liver and organ meats,189,20.02,6.48,0.02,8.69,392,10.12,232,453
"Liver, paste or pate",Liver and organ meats,201,13.45,6.55,0,13.1,391,9.19,95,386
Heart,Liver and organ meats,164,28.25,0.15,0,4.69,210,6.33,217,366
Kidney,Liver and organ meats,157,27.05,0,0,4.61,710,5.75,134,400
Sweetbreads,Liver and organ meats,124,22.49,0,0,3.08,347,1.23,432,366
Brains,Liver and organ meats,150,11.58,1.47,0,10.45,3075,2.28,242,414
Tongue,Liver and organ meats,282,19.14,0,0,22.12,131,2.59,183,372
"Tongue pot roast, Puerto Rican style",Liver and organ meats,317,21.03,0.32,0.02,25.04,144,2.94,206,1245
Tripe,Liver and organ meats,89,12.6,0,0,3.85,127,0.62,70,425
Chitterlings,Liver and organ meats,231,12.39,0,0,20.16,275,1.46,14,325
Hog maws,Liver and organ meats,250,26.53,0,0,15.97,351,0.95,99,541
Gizzard,Liver and organ meats,153,30.15,0,0,2.66,367,3.16,178,363
"Hot dog, NFS",Frankfurters,310,11.7,2.89,1.26,28,58,1.14,326,828
Beef sausage,Sausages,341,13.3,3.37,1,28.7,61,1.55,263,866
Bratwurst,Sausages,333,13.72,2.85,0,29.18,74,0.53,348,846
Bologna,Cold cuts and cured meats,281,10.34,6.31,1.97,23.77,92,1.24,320,1379
Mortadella,Cold cuts and cured meats,311,16.37,3.05,0,25.39,56,1.4,163,1246
"Pastrami, NFS",Cold cuts and cured meats,147,21.8,0.36,0.1,5.82,68,2.22,210,1078
"Pepperoni, NFS",Cold cuts and cured meats,504,19.25,1.18,0,46.28,97,1.33,274,1582
Polish sausage,Sausages,337,12.45,5.03,2.39,29.68,73,0.99,306,1062
Italian sausage,Sausages,317,18.2,2.15,1.46,26.2,80,1.29,310,766
"Sausage, NFS",Sausages,325,18.53,1.42,1.09,27.25,86,1.2,342,814
"Salami, NFS",Cold cuts and cured meats,378,21.07,0.72,0.26,31.65,108,1.36,363,1756
Turkey or chicken sausage,Sausages,193,19.65,1.09,0,12.24,92,1.38,365,705
Spam,Cold cuts and cured meats,315,13.4,4.6,0,26.6,71,0.64,409,1411
"Fish, raw",Fish,94,17.22,0,0,2.34,55,0.32,272,83
"Fish, anchovy",Fish,210,28.89,0,0,9.71,85,4.63,544,3668
"Fish, carp",Fish,213,19.97,7.79,0.14,10.72,77,1.89,366,314
"Fish, catfish, NFS",Fish,255,13.49,11.72,0.2,16.68,48,1.07,254,418
"Fish, flounder, NFS",Fish,128,15.42,0.01,0.01,6.93,60,0.23,199,316
"Fish, haddock, NFS",Fish,217,14.31,11.72,0.2,12.51,47,1.02,242,395
"Fish, halibut",Fish,175,20.73,7.79,0.14,6.24,59,0.75,473,334
"Fish, herring",Fish,245,20.1,7.79,0.14,14.32,71,1.74,359,357
"Fish, pickled",Fish,262,14.19,9.64,7.71,18,13,1.22,69,870
"Fish, mackerel, NFS",Fish,237,24.94,0.01,0.01,14.33,62,1.45,505,322
"Fish, mullet",Fish,202,21.56,7.79,0.14,8.82,59,1.66,391,331
"Fish, perch, NFS",Fish,224,13.56,11.72,0.2,13.34,46,1.06,167,400
"Fish, pike",Fish,172,21.47,7.79,0.14,5.58,49,1.16,288,304
